from,to
2019012_353,2019072_353
2019012_3218,2019072_3218
2019012_3217,2019072_3217
2019012_3142,2019072_3142
2019012_3141,2019072_3141
2019012_3130,2019072_3130
2019012_3073,2019072_3073
2019012_3071,2019072_3071
2019012_281,2019072_281
2019012_2364,2019072_2364
2019012_1076,2019072_1076
2019011_938,2019071_938
2019011_432,2019071_432
2019011_360,2019071_360
2019011_2263,2019071_2263
2019011_1905,2019071_1905
2019011_1833,2019071_1833
2019011_1189,2019071_1189
2018013_14,2018073_14
2018012_357,2018072_357
2018012_3223,2018072_3223
2018012_3221,2018072_3221
2018012_3220,2018072_3220
2018012_3219,2018072_3219
2018012_3208,2018072_3208
2018012_3147,2018072_3147
2018012_3146,2018072_3146
2018012_3145,2018072_3145
2018012_3075,2018072_3075
2018012_2773,2018072_2773
2018012_277,2018072_277
2018012_211,2018072_211
2018011_3148,2018071_3148
2018011_3073,2018071_3073
2018011_3000,2018071_3000
2017012_798,2017072_798
2017012_793,2017072_793
2017012_660,2017072_660
2017012_654,2017072_654
2017012_653,2017072_653
2017012_652,2017072_652
2017012_586,2017072_586
2017012_512,2017072_512
2017012_507,2017072_507
2017012_439,2017072_439
2017012_41,2017072_41
2017012_3114,2017072_3114
2017012_311,2017072_311
2017012_307,2017072_307
2017012_2978,2017072_2978
2017012_2977,2017072_2977
2017012_2975,2017072_2975
2017012_2966,2017072_2966
2017012_2831,2017072_2831
2017012_2818,2017072_2818
2017012_2750,2017072_2750
2017012_2669,2017072_2669
2017011_719,2017071_719
2017011_715,2017071_715
2017011_644,2017071_644
2017011_640,2017071_640
2017011_639,2017071_639
2017011_571,2017071_571
2017011_496,2017071_496
2017011_2879,2017071_2879
2017011_2867,2017071_2867
2017011_2745,2017071_2745
2017011_2673,2017071_2673
2017011_2247,2017071_2247
2017011_1445,2017071_1445
2017011_1372,2017071_1372
2017011_1317,2017071_1317
2017011_1316,2017071_1316
2017011_127,2017071_127
2017011_103,2017071_103
2016012_2741,2016072_2741
2016011_794,2016071_794
2016011_734,2016071_734
2016011_587,2016071_587
2016011_576,2016071_576
2016011_526,2016071_526
2016011_512,2016071_512
2016011_511,2016071_511
2016011_455,2016071_455
2016011_454,2016071_454
2016011_432,2016071_432
2016011_369,2016071_369
2016011_368,2016071_368
2016011_367,2016071_367
2016011_3089,2016071_3089
2016011_3085,2016071_3085
2016011_295,2016071_295
2016011_289,2016071_289
2016011_288,2016071_288
2016011_2876,2016071_2876
2016011_2875,2016071_2875
2016011_2874,2016071_2874
2016011_2801,2016071_2801
2016011_2747,2016071_2747
2016011_2745,2016071_2745
2016011_2673,2016071_2673
2016011_2672,2016071_2672
2016011_2610,2016071_2610
2016011_2603,2016071_2603
2016011_2601,2016071_2601
2016011_2600,2016071_2600
2016011_2599,2016071_2599
2016011_2598,2016071_2598
2016011_2595,2016071_2595
2016011_2594,2016071_2594
2016011_2593,2016071_2593
2016011_2531,2016071_2531
2016011_2528,2016071_2528
2016011_2527,2016071_2527
2016011_2522,2016071_2522
2016011_2465,2016071_2465
2016011_2450,2016071_2450
2016011_2393,2016071_2393
2016011_2386,2016071_2386
2016011_2321,2016071_2321
2016011_2308,2016071_2308
2016011_2305,2016071_2305
2016011_2304,2016071_2304
2016011_2241,2016071_2241
2016011_224,2016071_224
2016011_222,2016071_222
2016011_217,2016071_217
2016011_2162,2016071_2162
2016011_216,2016071_216
2016011_1952,2016071_1952
2016011_1950,2016071_1950
2016011_1230,2016071_1230
2016011_1086,2016071_1086
2016011_1082,2016071_1082
2016011_1015,2016071_1015
2015011_648,2015071_648
2015011_3125,2015071_3125
2015011_295,2015071_295
2015011_2846,2015071_2846
